model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,model_encoded,transmission_encoded,fuelType_encoded
 GT86,-0.5031505957080027,16000,Manual,0.23589937474888883,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,15995,Manual,-0.15337381906013067,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.0753333020509204,13998,Manual,0.4762617048684515,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,18998,Manual,-0.4292215937742678,Petrol,0.8261343041180772,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17498,Manual,1.1031238172956541,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,15998,Manual,0.43714949138745757,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,18522,Manual,-0.7335857277718205,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,18995,Manual,-0.5996086183205613,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-0.5031505957080027,13990,Manual,1.225082810240935,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17990,Manual,-0.5813325476576241,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,16995,Manual,1.090039004058376,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.6412148169778326,18498,Manual,1.0280283674121458,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17995,Manual,-0.30776039263692667,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.647516008393838,12998,Manual,0.3361688674910732,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17000,Manual,-0.4570268219034835,Petrol,0.8261343041180772,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.6412148169778326,19995,Manual,-0.3731133457078965,Petrol,0.8261343041180772,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-0.5031505957080027,15995,Semi-Auto,-0.09328323653024,Petrol,1.5317174211223104,-2.054357313734873,1.4918382953355727,6,3,3
 GT86,0.6412148169778326,18490,Manual,0.7437892450784499,Petrol,0.8261343041180772,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.0753333020509204,13981,Manual,0.6918055577064379,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.0753333020509204,13991,Manual,1.2341141758992737,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.6412148169778326,20695,Manual,-1.103089475494083,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-2.2196987147367557,11575,Manual,2.120041367801496,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,20995,Manual,-1.0188204337213962,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.647516008393838,14999,Manual,-0.16944538314504817,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-0.5031505957080027,15000,Manual,0.536850079206282,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,19500,Manual,-0.7916851430699514,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,18250,Manual,-0.03930838192646839,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-0.5031505957080027,17500,Manual,-0.4815608467233797,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,17102,Manual,0.016230961216542977,Petrol,2.37841716152739,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,19995,Manual,0.37179653831648773,Petrol,0.7555759924176539,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,-1.647516008393838,13495,Manual,0.27700275546164244,Petrol,2.4489754732278133,-2.371657489413762,1.4918382953355727,6,1,3
 GT86,0.0690321106349149,18495,Semi-Auto,-0.48653876480277886,Petrol,0.8261343041180772,-2.054357313734873,1.4918382953355727,6,3,3
